N   p      add    remove
20  0.00  1.000  0.000
20  0.02  0.953  0.000
20  0.04  0.930  0.000
20  0.06  0.874  0.292
20  0.08  0.915  0.082
20  0.10  0.779  0.374
20  0.12  0.874  0.000
20  0.14  0.745  0.000
20  0.16  0.744  0.105
20  0.18  0.645  0.000
20  0.20  0.548  0.509
20  0.22  0.474  0.766
20  0.24  0.470  0.649
20  0.26  0.435  0.474
20  0.28  0.485  0.579
20  0.30  0.350  0.298
20  0.32  0.342  0.719
20  0.34  0.261  0.608
20  0.36  0.223  0.386
20  0.38  0.225  0.544
20  0.40  0.249  0.789
20  0.42  0.177  0.614
20  0.44  0.162  0.673
20  0.46  0.199  0.544
20  0.48  0.118  0.608
20  0.50  0.102  0.544
20  0.52  0.109  0.883
20  0.54  0.083  0.836
20  0.56  0.058  0.737
20  0.58  0.084  0.614
20  0.60  0.070  0.614
20  0.62  0.074  0.912
20  0.64  0.046  0.836
20  0.66  0.039  0.982
20  0.68  0.060  0.836
20  0.70  0.024  0.737
20  0.72  0.034  0.912
20  0.74  0.020  0.737
20  0.76  0.024  0.789
20  0.78  0.013  0.982
20  0.80  0.019  0.965
20  0.82  0.019  0.965
20  0.84  0.012  0.912
20  0.86  0.008  0.965
20  0.88  0.007  0.982
20  0.90  0.011  0.994
20  0.92  0.004  0.965
20  0.94  0.003  1.000
20  0.96  0.004  0.994
20  0.98  0.001  1.000
20  1.00  0.000  1.000
20  0.00  1.000  0.000
20  0.02  0.974  0.000
20  0.04  0.956  0.000
20  0.06  0.887  0.035
20  0.08  0.906  0.012
20  0.10  0.868  0.327
20  0.12  0.766  0.094
20  0.14  0.774  0.088
20  0.16  0.510  0.199
20  0.18  0.631  0.357
20  0.20  0.542  0.105
20  0.22  0.558  0.450
20  0.24  0.539  0.298
20  0.26  0.348  0.386
20  0.28  0.483  0.327
20  0.30  0.294  0.784
20  0.32  0.279  0.386
20  0.34  0.240  0.883
20  0.36  0.184  0.386
20  0.38  0.240  0.784
20  0.40  0.231  0.673
20  0.42  0.122  0.614
20  0.44  0.149  0.678
20  0.46  0.116  0.673
20  0.48  0.147  0.673
20  0.50  0.114  0.468
20  0.52  0.076  0.614
20  0.54  0.057  0.737
20  0.56  0.102  0.871
20  0.58  0.060  0.836
20  0.60  0.065  0.789
20  0.62  0.058  0.836
20  0.64  0.034  0.836
20  0.66  0.032  0.877
20  0.68  0.058  0.836
