,actionDetail,actionType,bonusActivated,graphEdgeCount,nodeList,p1Degree,p1Score,p1WinAdvantage,p1WinCount,p2Degree,p2Score,p2WinCount,player
0,"(13,15)",,True,2,"[13, 15, 4, 5, 9]",0,-0.001,0,0,0,-0.001,0,1
1,"(13,15)",,True,2,"[13, 15, 4, 5, 9]",0,-0.001,0,0,0,-0.001,0,1
2,"(3,10)",,False,4,"[3, 10, 12, 11, 13]",0,-0.001,0,0,0,-0.001,0,1
3,"(3,10)",,False,4,"[3, 10, 12, 11, 13]",0,-0.001,0,0,0,-0.001,0,1
4,"(12,1)",,False,6,"[12, 9, 5, 14, 1]",0,-0.001,-1,0,1,0.0,1,1
5,"(12,1)",,False,6,"[12, 9, 5, 14, 1]",0,-0.001,-1,0,1,0.0,1,1
6,"(10,4)",,True,6,"[10, 4, 17, 18, 0]",0,-0.001,-1,0,0,-0.001,1,1
7,"(10,4)",,True,6,"[10, 4, 17, 18, 0]",0,-0.001,-1,0,0,-0.001,1,1
8,"(18,12)",,False,8,"[18, 12, 8, 5, 13]",0,-0.001,-1,0,0,-0.001,1,1
9,"(18,12)",,False,8,"[18, 12, 8, 5, 13]",0,-0.001,-1,0,0,-0.001,1,1
10,"(12,1)",,False,10,"[12, 1, 14, 8, 18]",0,-0.001,-2,0,1,0.0,2,1
11,"(12,1)",,False,10,"[12, 1, 14, 8, 18]",0,-0.001,-2,0,1,0.0,2,1
12,"(7,3)",,False,12,"[7, 3, 14, 16, 12]",0,-0.001,-4,0,1,0.0,4,1
13,"(7,3)",,False,12,"[7, 3, 14, 16, 12]",0,-0.001,-4,0,1,0.0,4,1
14,"(11,1)",,True,14,"[17, 11, 9, 1, 18]",1,0.0,-5,0,2,0.052631578947368,5,1
15,"(11,1)",,True,14,"[17, 11, 9, 1, 18]",1,0.0,-5,0,2,0.052631578947368,5,1
16,"(15,1)",,False,16,"[14, 15, 11, 1, 4]",1,0.0,-7,0,3,0.16959064327485301,7,1
17,"(15,1)",,False,16,"[14, 15, 11, 1, 4]",1,0.0,-7,0,3,0.16959064327485301,7,1
18,"(15,9)",,False,18,"[15, 13, 9, 4, 0]",1,0.0,-9,0,3,0.134502923976608,9,1
19,"(15,9)",,False,18,"[15, 13, 9, 4, 0]",1,0.0,-9,0,3,0.134502923976608,9,1
20,"(2,14)",,False,20,"[2, 14, 0, 16, 4]",1,0.0,-11,0,3,0.18713450292397601,11,1
21,"(2,14)",,False,20,"[2, 14, 0, 16, 4]",1,0.0,-11,0,3,0.18713450292397601,11,1
22,"(7,2)",,False,22,"[7, 9, 2, 15, 16]",1,0.0,-13,0,3,0.137426900584795,13,1
23,"(7,2)",,False,22,"[7, 9, 2, 15, 16]",1,0.0,-13,0,3,0.137426900584795,13,1
24,"(6,11)",,False,24,"[4, 10, 18, 6, 11]",2,0.09941520467836201,-13,1,3,0.207602339181286,14,1
25,"(6,11)",,False,24,"[4, 10, 18, 6, 11]",2,0.09941520467836201,-13,1,3,0.207602339181286,14,1
26,"(7,0)",,False,22,"[4, 7, 0, 2, 16]",1,0.0,-13,2,3,0.137426900584795,15,1
27,"(7,0)",,False,22,"[4, 7, 0, 2, 16]",1,0.0,-13,2,3,0.137426900584795,15,1
28,"(2,14)",,False,22,"[3, 2, 16, 8, 14]",1,0.0,-15,2,3,0.10428849902534101,17,1
29,"(2,14)",,False,22,"[3, 2, 16, 8, 14]",1,0.0,-15,2,3,0.10428849902534101,17,1
30,"(10,1)",,False,24,"[17, 4, 11, 10, 1]",1,0.0,-17,2,4,0.16179337231968802,19,1
31,"(10,1)",,False,24,"[17, 4, 11, 10, 1]",1,0.0,-17,2,4,0.16179337231968802,19,1
32,"(8,11)",,False,24,"[15, 8, 11, 14, 6]",1,0.0,-19,2,4,0.24366471734892703,21,1
33,"(8,11)",,False,24,"[15, 8, 11, 14, 6]",1,0.0,-19,2,4,0.24366471734892703,21,1
34,"(10,19)",,False,26,"[13, 10, 19, 5, 6]",1,0.0,-21,2,4,0.24756335282651,23,1
35,"(10,19)",,False,26,"[13, 10, 19, 5, 6]",1,0.0,-21,2,4,0.24756335282651,23,1
36,"(10,16)",,True,26,"[15, 12, 10, 16, 11]",1,0.0,-23,2,3,0.25730994152046704,25,1
37,"(10,16)",,True,26,"[15, 12, 10, 16, 11]",1,0.0,-23,2,3,0.25730994152046704,25,1
38,"(7,17)",,False,26,"[7, 17, 16, 18, 10]",2,0.07426900584795301,-25,2,3,0.18723196881091603,27,1
39,"(7,17)",,False,26,"[7, 17, 16, 18, 10]",2,0.07426900584795301,-25,2,3,0.18723196881091603,27,1
40,"(14,12)",,False,24,"[16, 14, 7, 12, 15]",2,0.077972709551656,-25,3,2,0.18713450292397601,28,1
