,actionDetail,actionType,bonusActivated,graphEdgeCount,nodeList,p1Degree,p1Score,p1WinAdvantage,p1WinCount,p2Degree,p2Score,p2WinCount,player
0,"(18,2)",,False,2,"[18, 2, 8, 15, 14]",0,-0.001,0,0,0,-0.001,0,1
1,"(18,2)",,False,2,"[18, 2, 8, 15, 14]",0,-0.001,0,0,0,-0.001,0,1
2,"(2,4)",,False,4,"[2, 4, 10, 12, 7]",1,0.0,2,2,0,-0.001,0,1
3,"(2,4)",,False,4,"[2, 4, 10, 12, 7]",1,0.0,2,2,0,-0.001,0,1
4,"(14,17)",,False,6,"[0, 14, 17, 9, 6]",2,0.017543859649122,4,4,0,-0.001,0,1
5,"(14,17)",,False,6,"[0, 14, 17, 9, 6]",2,0.017543859649122,4,4,0,-0.001,0,1
6,"(7,4)",,False,8,"[14, 9, 5, 7, 4]",2,0.005847953216374001,6,6,0,-0.001,0,1
7,"(7,4)",,False,8,"[14, 9, 5, 7, 4]",2,0.005847953216374001,6,6,0,-0.001,0,1
8,"(7,18)",,False,10,"[7, 5, 19, 18, 13]",2,0.0,8,8,0,-0.001,0,1
9,"(7,18)",,False,10,"[7, 5, 19, 18, 13]",2,0.0,8,8,0,-0.001,0,1
10,"(4,2)",,False,10,"[4, 2, 17, 16, 5]",2,0.0,10,10,0,-0.001,0,1
11,"(4,2)",,False,10,"[4, 2, 17, 16, 5]",2,0.0,10,10,0,-0.001,0,1
12,"(8,5)",,False,12,"[8, 5, 18, 15, 3]",2,0.0,12,12,0,-0.001,0,1
13,"(8,5)",,False,12,"[8, 5, 18, 15, 3]",2,0.0,12,12,0,-0.001,0,1
14,"(18,14)",,False,14,"[7, 18, 9, 14, 11]",3,0.005847953216374001,14,14,0,-0.001,0,1
15,"(18,14)",,False,14,"[7, 18, 9, 14, 11]",3,0.005847953216374001,14,14,0,-0.001,0,1
16,"(0,14)",,False,14,"[2, 10, 6, 0, 14]",2,0.0,16,16,0,-0.001,0,1
17,"(0,14)",,False,14,"[2, 10, 6, 0, 14]",2,0.0,16,16,0,-0.001,0,1
18,"(11,7)",,False,16,"[11, 0, 7, 3, 16]",2,0.0,18,18,0,-0.001,0,1
19,"(11,7)",,False,16,"[11, 0, 7, 3, 16]",2,0.0,18,18,0,-0.001,0,1
20,"(6,4)",,False,18,"[6, 4, 10, 0, 13]",2,0.0,20,20,0,-0.001,0,1
21,"(6,4)",,False,18,"[6, 4, 10, 0, 13]",2,0.0,20,20,0,-0.001,0,1
22,"(5,8)",,False,18,"[5, 8, 17, 6, 16]",2,0.0,22,22,0,-0.001,0,1
23,"(5,8)",,False,18,"[5, 8, 17, 6, 16]",2,0.0,22,22,0,-0.001,0,1
24,"(0,18)",,False,16,"[0, 15, 19, 1, 18]",1,0.0,24,24,0,-0.001,0,1
25,"(0,18)",,False,16,"[0, 15, 19, 1, 18]",1,0.0,24,24,0,-0.001,0,1
26,"(18,11)",,False,18,"[18, 13, 4, 11, 3]",2,0.011695906432748001,26,26,0,-0.001,0,1
27,"(18,11)",,False,18,"[18, 13, 4, 11, 3]",2,0.011695906432748001,26,26,0,-0.001,0,1
28,"(16,9)",,False,20,"[16, 1, 17, 9, 5]",3,0.09064327485380101,28,28,0,-0.001,0,1
29,"(16,9)",,False,20,"[16, 1, 17, 9, 5]",3,0.09064327485380101,28,28,0,-0.001,0,1
30,"(19,10)",,False,22,"[19, 10, 1, 17, 13]",4,0.11500974658869301,30,30,0,-0.001,0,1
31,"(19,10)",,False,22,"[19, 10, 1, 17, 13]",4,0.11500974658869301,30,30,0,-0.001,0,1
32,"(0,5)",,False,20,"[0, 19, 14, 3, 5]",3,0.030214424951267003,32,32,0,-0.001,0,1
33,"(0,5)",,False,20,"[0, 19, 14, 3, 5]",3,0.030214424951267003,32,32,0,-0.001,0,1
34,"(10,6)",,False,22,"[2, 10, 3, 6, 5]",3,0.037037037037037,34,34,0,-0.001,0,1
35,"(10,6)",,False,22,"[2, 10, 3, 6, 5]",3,0.037037037037037,34,34,0,-0.001,0,1
36,"(6,5)",,False,24,"[6, 5, 17, 11, 2]",3,0.039961013645224,36,36,0,-0.001,0,1
37,"(6,5)",,False,24,"[6, 5, 17, 11, 2]",3,0.039961013645224,36,36,0,-0.001,0,1
38,"(7,16)",,False,25,"[7, 16, 17, 3, 4]",3,0.051656920077972006,38,38,1,0.0,0,1
39,"(7,16)",,False,25,"[7, 16, 17, 3, 4]",3,0.051656920077972006,38,38,1,0.0,0,1
40,"(0,7)",,False,25,"[16, 0, 17, 7, 4]",2,0.0,39,39,1,0.0,0,1
41,"(0,7)",,False,25,"[16, 0, 17, 7, 4]",2,0.0,39,39,1,0.0,0,1
42,"(15,1)",,False,27,"[11, 15, 1, 13, 14]",2,0.0,38,39,2,0.06959064327485301,1,1
43,"(15,1)",,False,27,"[11, 15, 1, 13, 14]",2,0.0,38,39,2,0.06959064327485301,1,1
44,"(17,4)",,False,28,"[11, 5, 17, 15, 4]",2,0.0,36,39,2,0.026998050682261004,3,1
45,"(17,4)",,False,28,"[11, 5, 17, 15, 4]",2,0.0,36,39,2,0.026998050682261004,3,1
46,"(6,5)",,False,26,"[6, 5, 13, 14, 7]",2,0.09941520467836201,38,41,2,0.026998050682261004,3,1
47,"(6,5)",,False,26,"[6, 5, 13, 14, 7]",2,0.09941520467836201,38,41,2,0.026998050682261004,3,1
48,"(1,3)",,False,28,"[2, 1, 3, 13, 11]",2,0.105263157894736,38,42,3,0.11842105263157801,4,1
49,"(1,3)",,False,28,"[2, 1, 3, 13, 11]",2,0.105263157894736,38,42,3,0.11842105263157801,4,1
50,"(6,15)",,False,28,"[6, 12, 5, 15, 18]",2,0.105263157894736,36,42,3,0.13011695906432702,6,1
51,"(6,15)",,False,28,"[6, 12, 5, 15, 18]",2,0.105263157894736,36,42,3,0.13011695906432702,6,1
52,"(5,1)",,False,30,"[5, 7, 17, 1, 18]",2,0.105263157894736,36,43,4,0.137816764132553,7,1
53,"(5,1)",,False,30,"[5, 7, 17, 1, 18]",2,0.105263157894736,36,43,4,0.137816764132553,7,1
54,"(12,15)",,False,32,"[4, 3, 12, 17, 15]",2,0.105263157894736,34,43,4,0.14505708716235002,9,1
55,"(12,15)",,False,32,"[4, 3, 12, 17, 15]",2,0.105263157894736,34,43,4,0.14505708716235002,9,1
56,"(9,1)",,False,34,"[9, 18, 1, 15, 4]",2,0.105263157894736,32,43,5,0.14651907546644302,11,1
57,"(9,1)",,False,34,"[9, 18, 1, 15, 4]",2,0.105263157894736,32,43,5,0.14651907546644302,11,1
58,"(5,19)",,False,36,"[8, 13, 5, 19, 7]",2,0.017056530214424,30,43,5,0.12724171539961002,13,1
59,"(5,19)",,False,36,"[8, 13, 5, 19, 7]",2,0.017056530214424,30,43,5,0.12724171539961002,13,1
60,"(2,5)",,False,38,"[18, 3, 2, 8, 5]",2,0.012865497076023,28,43,5,0.10928014480646,15,1
61,"(2,5)",,False,38,"[18, 3, 2, 8, 5]",2,0.012865497076023,28,43,5,0.10928014480646,15,1
62,"(19,10)",,False,41,"[11, 19, 13, 10, 9]",2,0.0,26,43,5,0.08130743525480301,17,1
63,"(19,10)",,False,41,"[11, 19, 13, 10, 9]",2,0.0,26,43,5,0.08130743525480301,17,1
64,"(9,5)",,False,41,"[3, 9, 13, 5, 19]",2,0.0,24,43,5,0.09724096566201801,19,1
65,"(9,5)",,False,41,"[3, 9, 13, 5, 19]",2,0.0,24,43,5,0.09724096566201801,19,1
66,"(17,1)",,False,43,"[17, 10, 15, 2, 1]",3,0.02716049382716,22,43,6,0.10995080293325901,21,1
67,"(17,1)",,False,43,"[17, 10, 15, 2, 1]",3,0.02716049382716,22,43,6,0.10995080293325901,21,1
68,"(9,16)",,False,43,"[4, 9, 16, 6, 3]",3,0.030270119743803003,20,43,6,0.135818080554922,23,1
69,"(9,16)",,False,43,"[4, 9, 16, 6, 3]",3,0.030270119743803003,20,43,6,0.135818080554922,23,1
70,"(19,0)",,False,43,"[15, 13, 19, 0, 16]",2,0.017074738127369,18,43,6,0.13518937203147702,25,1
71,"(19,0)",,False,43,"[15, 13, 19, 0, 16]",2,0.017074738127369,18,43,6,0.13518937203147702,25,1
72,"(8,6)",,False,43,"[8, 6, 4, 13, 14]",2,0.014014202172096,16,43,6,0.136214905951748,27,1
73,"(8,6)",,False,43,"[8, 6, 4, 13, 14]",2,0.014014202172096,16,43,6,0.136214905951748,27,1
74,"(9,6)",,False,41,"[4, 12, 19, 9, 6]",2,0.014285714285714,14,43,5,0.13734335839598902,29,1
75,"(9,6)",,False,41,"[4, 12, 19, 9, 6]",2,0.014285714285714,14,43,5,0.13734335839598902,29,1
76,"(6,1)",,False,43,"[15, 6, 14, 1, 19]",2,0.010776942355889,12,43,6,0.10059871901977101,31,1
77,"(6,1)",,False,43,"[15, 6, 14, 1, 19]",2,0.010776942355889,12,43,6,0.10059871901977101,31,1
78,"(14,18)",,False,41,"[11, 14, 10, 12, 18]",2,0.011890838206627001,10,43,5,0.07592592592592501,33,1
79,"(14,18)",,False,41,"[11, 14, 10, 12, 18]",2,0.011890838206627001,10,43,5,0.07592592592592501,33,1
80,"(15,19)",,False,39,"[5, 17, 15, 8, 19]",2,0.025013923698134002,8,43,4,0.061856028961292005,35,1
81,"(15,19)",,False,39,"[5, 17, 15, 8, 19]",2,0.025013923698134002,8,43,4,0.061856028961292005,35,1
82,"(9,12)",,False,41,"[16, 17, 9, 3, 12]",3,0.030432562888703003,6,43,4,0.048570500324886,37,1
83,"(9,12)",,False,41,"[16, 17, 9, 3, 12]",3,0.030432562888703003,6,43,4,0.048570500324886,37,1
84,"(6,15)",,False,43,"[6, 15, 8, 10, 14]",4,0.031042884990253,8,45,4,0.027777777777777003,37,1
85,"(6,15)",,False,43,"[6, 15, 8, 10, 14]",4,0.031042884990253,8,45,4,0.027777777777777003,37,1
86,"(1,3)",,False,45,"[1, 0, 3, 9, 12]",4,0.026218323586744002,8,46,5,0.04660261765524901,38,1
87,"(1,3)",,False,45,"[1, 0, 3, 9, 12]",4,0.026218323586744002,8,46,5,0.04660261765524901,38,1
88,"(11,1)",,False,45,"[11, 10, 1, 6, 18]",4,0.027813219918483,6,46,6,0.07768410926305601,40,1
89,"(11,1)",,False,45,"[11, 10, 1, 6, 18]",4,0.027813219918483,6,46,6,0.07768410926305601,40,1
90,"(18,12)",,False,47,"[18, 13, 14, 4, 12]",4,0.018379281537176002,4,46,6,0.053627123363965,42,1
91,"(18,12)",,False,47,"[18, 13, 14, 4, 12]",4,0.018379281537176002,4,46,6,0.053627123363965,42,1
92,"(2,1)",,False,49,"[2, 5, 1, 18, 9]",5,0.037733221943748,2,46,7,0.07142857142857101,44,1
93,"(2,1)",,False,49,"[2, 5, 1, 18, 9]",5,0.037733221943748,2,46,7,0.07142857142857101,44,1
94,"(5,7)",,False,49,"[5, 7, 6, 11, 19]",5,0.040504037872458,0,46,7,0.094583681425786,46,1
95,"(5,7)",,False,49,"[5, 7, 6, 11, 19]",5,0.040504037872458,0,46,7,0.094583681425786,46,1
96,"(1,17)",,False,49,"[2, 5, 1, 13, 17]",5,0.035370834493641,-2,46,7,0.11688480460410201,48,1
97,"(1,17)",,False,49,"[2, 5, 1, 13, 17]",5,0.035370834493641,-2,46,7,0.11688480460410201,48,1
98,"(16,17)",,False,49,"[16, 17, 4, 15, 14]",6,0.061505615891580004,-4,46,7,0.130571799870045,50,1
99,"(16,17)",,False,49,"[16, 17, 4, 15, 14]",6,0.061505615891580004,-4,46,7,0.130571799870045,50,1
100,"(13,1)",,False,49,"[5, 9, 2, 13, 1]",6,0.053109625916643005,-6,46,8,0.171180265478511,52,1
101,"(13,1)",,False,49,"[5, 9, 2, 13, 1]",6,0.053109625916643005,-6,46,8,0.171180265478511,52,1
102,"(0,9)",,False,49,"[5, 6, 0, 9, 8]",6,0.07300891116680501,-8,46,8,0.16755778334725702,54,1
103,"(0,9)",,False,49,"[5, 6, 0, 9, 8]",6,0.07300891116680501,-8,46,8,0.16755778334725702,54,1
104,"(1,15)",,False,51,"[2, 1, 15, 14, 10]",6,0.0680636777128,-10,46,9,0.164185927782419,56,1
105,"(1,15)",,False,51,"[2, 1, 15, 14, 10]",6,0.0680636777128,-10,46,9,0.164185927782419,56,1
106,"(5,10)",,False,49,"[15, 17, 9, 5, 10]",6,0.06934929917386,-12,46,8,0.148647080664624,58,1
107,"(5,10)",,False,49,"[15, 17, 9, 5, 10]",6,0.06934929917386,-12,46,8,0.148647080664624,58,1
108,"(1,19)",,False,51,"[8, 1, 2, 19, 16]",6,0.055773693492991,-14,46,9,0.16110879049475502,60,1
109,"(1,19)",,False,51,"[8, 1, 2, 19, 16]",6,0.055773693492991,-14,46,9,0.16110879049475502,60,1
110,"(8,10)",,False,51,"[13, 8, 19, 10, 17]",6,0.056261022927689,-16,46,9,0.154935950988582,62,1
111,"(8,10)",,False,51,"[13, 8, 19, 10, 17]",6,0.056261022927689,-16,46,9,0.154935950988582,62,1
112,"(13,7)",,False,51,"[13, 12, 6, 7, 3]",7,0.11125963055787601,-18,46,9,0.152965747702589,64,1
113,"(13,7)",,False,51,"[13, 12, 6, 7, 3]",7,0.11125963055787601,-18,46,9,0.152965747702589,64,1
114,"(12,2)",,False,51,"[14, 5, 15, 12, 2]",7,0.10756985055230602,-20,46,9,0.156446672236145,66,1
115,"(12,2)",,False,51,"[14, 5, 15, 12, 2]",7,0.10756985055230602,-20,46,9,0.156446672236145,66,1
116,"(16,17)",,False,49,"[13, 5, 16, 14, 17]",7,0.11553420588508301,-22,46,8,0.14087069525666002,68,1
117,"(16,17)",,False,49,"[13, 5, 16, 14, 17]",7,0.11553420588508301,-22,46,8,0.14087069525666002,68,1
118,"(4,18)",,False,47,"[12, 4, 16, 5, 18]",7,0.12613942263065,-20,48,7,0.12210619140443602,68,1
119,"(4,18)",,False,47,"[12, 4, 16, 5, 18]",7,0.12613942263065,-20,48,7,0.12210619140443602,68,1
120,"(1,14)",,False,50,"[9, 1, 0, 14, 18]",7,0.114480646059593,-20,49,8,0.136034530771372,69,1
121,"(1,14)",,False,50,"[9, 1, 0, 14, 18]",7,0.114480646059593,-20,49,8,0.136034530771372,69,1
122,"(1,17)",,False,52,"[4, 0, 1, 3, 17]",8,0.14025341130604202,-20,50,9,0.16649262043998803,70,1
123,"(1,17)",,False,52,"[4, 0, 1, 3, 17]",8,0.14025341130604202,-20,50,9,0.16649262043998803,70,1
124,"(13,10)",,False,54,"[17, 13, 7, 11, 10]",9,0.165569858990911,-18,52,9,0.14175527201842902,70,1
125,"(13,10)",,False,54,"[17, 13, 7, 11, 10]",9,0.165569858990911,-18,52,9,0.14175527201842902,70,1
126,"(8,0)",,False,52,"[12, 8, 0, 14, 19]",8,0.11966342624237301,-18,53,8,0.125318346370977,71,1
127,"(8,0)",,False,52,"[12, 8, 0, 14, 19]",8,0.11966342624237301,-18,53,8,0.125318346370977,71,1
128,"(18,3)",,False,54,"[18, 12, 3, 17, 9]",9,0.167533100427837,-16,55,8,0.112536391483759,71,1
129,"(18,3)",,False,54,"[18, 12, 3, 17, 9]",9,0.167533100427837,-16,55,8,0.112536391483759,71,1
130,"(6,14)",,False,56,"[10, 13, 9, 6, 14]",10,0.18522695627958702,-14,57,8,0.09423326835607501,71,1
131,"(6,14)",,False,56,"[10, 13, 9, 6, 14]",10,0.18522695627958702,-14,57,8,0.09423326835607501,71,1
132,"(19,5)",,False,54,"[14, 19, 5, 16, 7]",10,0.19770828586618003,-12,59,8,0.11736095288726801,71,1
133,"(19,5)",,False,54,"[14, 19, 5, 16, 7]",10,0.19770828586618003,-12,59,8,0.11736095288726801,71,1
134,"(19,16)",,False,54,"[19, 16, 6, 9, 14]",10,0.18989139515455303,-10,61,7,0.101998050682261,71,1
135,"(19,16)",,False,54,"[19, 16, 6, 9, 14]",10,0.18989139515455303,-10,61,7,0.101998050682261,71,1
136,"(0,13)",,False,52,"[9, 0, 10, 4, 13]",9,0.16413844440160202,-8,63,7,0.10592149890395501,71,1
137,"(0,13)",,False,52,"[9, 0, 10, 4, 13]",9,0.16413844440160202,-8,63,7,0.10592149890395501,71,1
138,"(0,6)",,False,50,"[0, 7, 9, 6, 5]",8,0.15333472570314602,-6,65,7,0.10734475076580301,71,1
139,"(0,6)",,False,50,"[0, 7, 9, 6, 5]",8,0.15333472570314602,-6,65,7,0.10734475076580301,71,1
140,"(13,5)",,False,47,"[17, 13, 5, 15, 11]",8,0.17989417989417902,-4,67,6,0.10565998329156201,71,1
141,"(13,5)",,False,47,"[17, 13, 5, 15, 11]",8,0.17989417989417902,-4,67,6,0.10565998329156201,71,1
142,"(11,4)",,False,47,"[18, 11, 15, 14, 4]",8,0.172449642625081,-2,69,6,0.10795971410006401,71,1
143,"(11,4)",,False,47,"[18, 11, 15, 14, 4]",8,0.172449642625081,-2,69,6,0.10795971410006401,71,1
144,"(5,19)",,False,47,"[6, 13, 5, 19, 10]",8,0.17303443794671802,0,71,5,0.055815464587394004,71,1
145,"(5,19)",,False,47,"[6, 13, 5, 19, 10]",8,0.17303443794671802,0,71,5,0.055815464587394004,71,1
146,"(2,0)",,False,47,"[2, 18, 17, 1, 0]",8,0.15081221572449602,2,73,5,0.045630279402209005,71,1
147,"(2,0)",,False,47,"[2, 18, 17, 1, 0]",8,0.15081221572449602,2,73,5,0.045630279402209005,71,1
148,"(17,19)",,False,49,"[6, 17, 11, 19, 10]",9,0.17890095609393802,4,75,5,0.037505801540889006,71,1
149,"(17,19)",,False,49,"[6, 17, 11, 19, 10]",9,0.17890095609393802,4,75,5,0.037505801540889006,71,1
150,"(14,1)",,False,49,"[11, 14, 7, 18, 1]",9,0.18429870973730603,6,77,6,0.044653299916457,71,1
151,"(14,1)",,False,49,"[11, 14, 7, 18, 1]",9,0.18429870973730603,6,77,6,0.044653299916457,71,1
152,"(5,16)",,False,49,"[5, 16, 19, 14, 4]",9,0.16899192425508203,8,79,6,0.04443052074631,71,1
153,"(5,16)",,False,49,"[5, 16, 19, 14, 4]",9,0.16899192425508203,8,79,6,0.04443052074631,71,1
154,"(16,19)",,False,50,"[8, 10, 13, 16, 19]",10,0.20097930010210702,10,81,6,0.044156688016337,71,1
155,"(16,19)",,False,50,"[8, 10, 13, 16, 19]",10,0.20097930010210702,10,81,6,0.044156688016337,71,1
156,"(3,12)",,False,50,"[11, 17, 3, 15, 12]",10,0.19033062454115002,12,83,5,0.027297410192147,71,1
157,"(3,12)",,False,50,"[11, 17, 3, 15, 12]",10,0.19033062454115002,12,83,5,0.027297410192147,71,1
158,"(12,2)",,False,52,"[11, 12, 9, 18, 2]",11,0.19978882391163003,14,85,5,0.020978371855564,71,1
159,"(12,2)",,False,52,"[11, 12, 9, 18, 2]",11,0.19978882391163003,14,85,5,0.020978371855564,71,1
160,"(2,15)",,False,51,"[16, 3, 10, 2, 15]",11,0.24219576719576702,16,87,5,0.021813793743618002,71,1
161,"(2,15)",,False,51,"[16, 3, 10, 2, 15]",11,0.24219576719576702,16,87,5,0.021813793743618002,71,1
162,"(6,12)",,False,51,"[6, 13, 12, 15, 16]",11,0.25223475355054303,18,89,5,0.020467836257309,71,1
163,"(6,12)",,False,51,"[6, 13, 12, 15, 16]",11,0.25223475355054303,18,89,5,0.020467836257309,71,1
164,"(19,9)",,False,51,"[11, 19, 10, 3, 9]",11,0.24735449735449702,20,91,5,0.019493177387914,71,1
165,"(19,9)",,False,51,"[11, 19, 10, 3, 9]",11,0.24735449735449702,20,91,5,0.019493177387914,71,1
166,"(4,0)",,False,48,"[19, 12, 4, 0, 1]",10,0.24019771651350502,22,93,4,0.008883319409635,71,1
167,"(4,0)",,False,48,"[19, 12, 4, 0, 1]",10,0.24019771651350502,22,93,4,0.008883319409635,71,1
168,"(8,15)",,False,48,"[8, 14, 10, 18, 15]",10,0.20575048732943402,24,95,4,0.012531328320802,71,1
169,"(8,15)",,False,48,"[8, 14, 10, 18, 15]",10,0.20575048732943402,24,95,4,0.012531328320802,71,1
170,"(1,2)",,False,48,"[1, 3, 2, 19, 12]",10,0.24005615891580803,26,97,5,0.024860763018657,71,1
171,"(1,2)",,False,48,"[1, 3, 2, 19, 12]",10,0.24005615891580803,26,97,5,0.024860763018657,71,1
