,actionDetail,actionType,bonusActivated,graphEdgeCount,nodeList,p1Degree,p1Score,p1WinAdvantage,p1WinCount,p2Degree,p2Score,p2WinCount,player
0,"(10,1)",,True,2,"[10, 3, 1, 9, 18]",0,-0.001,-1,0,1,0.0,1,1
1,"(10,1)",,True,2,"[10, 3, 1, 9, 18]",0,-0.001,-1,0,1,0.0,1,1
2,"(17,11)",,True,4,"[0, 17, 11, 7, 16]",0,-0.001,-3,0,1,0.0,3,1
3,"(17,11)",,True,4,"[0, 17, 11, 7, 16]",0,-0.001,-3,0,1,0.0,3,1
4,"(14,13)",,False,6,"[14, 0, 13, 10, 18]",0,-0.001,-5,0,1,0.0,5,1
5,"(14,13)",,False,6,"[14, 0, 13, 10, 18]",0,-0.001,-5,0,1,0.0,5,1
6,"(17,9)",,False,8,"[17, 9, 10, 7, 12]",1,0.0,-5,0,1,0.0,5,1
7,"(17,9)",,False,8,"[17, 9, 10, 7, 12]",1,0.0,-5,0,1,0.0,5,1
8,"(1,12)",,False,10,"[4, 7, 1, 12, 11]",1,0.0,-6,0,2,0.040935672514619006,6,1
9,"(1,12)",,False,10,"[4, 7, 1, 12, 11]",1,0.0,-6,0,2,0.040935672514619006,6,1
10,"(19,17)",,False,12,"[19, 17, 0, 11, 16]",1,0.0,-8,0,2,0.046783625730994004,8,1
11,"(19,17)",,False,12,"[19, 17, 0, 11, 16]",1,0.0,-8,0,2,0.046783625730994004,8,1
12,"(17,7)",,False,14,"[17, 3, 7, 2, 16]",1,0.0,-10,0,2,0.06432748538011601,10,1
13,"(17,7)",,False,14,"[17, 3, 7, 2, 16]",1,0.0,-10,0,2,0.06432748538011601,10,1
14,"(1,3)",,False,16,"[1, 11, 17, 3, 7]",1,0.0,-12,0,3,0.134502923976608,12,1
15,"(1,3)",,False,16,"[1, 11, 17, 3, 7]",1,0.0,-12,0,3,0.134502923976608,12,1
16,"(15,12)",,False,16,"[15, 7, 6, 12, 8]",1,0.0,-14,0,3,0.134502923976608,14,1
17,"(15,12)",,False,16,"[15, 7, 6, 12, 8]",1,0.0,-14,0,3,0.134502923976608,14,1
