,actionDetail,actionType,bonusActivated,graphEdgeCount,nodeList,p1Degree,p1Score,p1WinAdvantage,p1WinCount,p2Degree,p2Score,p2WinCount,player
0,"(12,1)",,True,2,"[12, 11, 6, 17, 1]",0,-0.001,-1,0,1,0.0,1,1
1,"(12,1)",,True,2,"[12, 11, 6, 17, 1]",0,-0.001,-1,0,1,0.0,1,1
2,"(4,1)",,False,4,"[4, 18, 5, 1, 11]",0,-0.001,-3,0,2,0.017543859649122,3,1
3,"(4,1)",,False,4,"[4, 18, 5, 1, 11]",0,-0.001,-3,0,2,0.017543859649122,3,1
4,"(16,19)",,False,6,"[0, 16, 19, 15, 6]",1,0.0,-5,0,2,0.017543859649122,5,1
5,"(16,19)",,False,6,"[0, 16, 19, 15, 6]",1,0.0,-5,0,2,0.017543859649122,5,1
6,"(5,0)",,False,7,"[2, 19, 5, 0, 6]",2,0.011695906432748001,-5,1,2,0.017543859649122,6,1
7,"(5,0)",,False,7,"[2, 19, 5, 0, 6]",2,0.011695906432748001,-5,1,2,0.017543859649122,6,1
8,"(0,16)",,False,8,"[0, 17, 19, 16, 1]",1,0.0,-4,2,2,0.0,6,1
9,"(0,16)",,False,8,"[0, 17, 19, 16, 1]",1,0.0,-4,2,2,0.0,6,1
10,"(2,1)",,False,10,"[2, 6, 16, 1, 14]",1,0.0,-5,2,3,0.035087719298245,7,1
11,"(2,1)",,False,10,"[2, 6, 16, 1, 14]",1,0.0,-5,2,3,0.035087719298245,7,1
12,"(6,4)",,False,12,"[6, 14, 15, 4, 17]",1,0.0,-7,2,3,0.046783625730994004,9,1
13,"(6,4)",,False,12,"[6, 14, 15, 4, 17]",1,0.0,-7,2,3,0.046783625730994004,9,1
14,"(1,18)",,True,12,"[2, 1, 4, 18, 10]",1,0.0,-9,2,4,0.157894736842105,11,1
15,"(1,18)",,True,12,"[2, 1, 4, 18, 10]",1,0.0,-9,2,4,0.157894736842105,11,1
16,"(9,3)",,False,12,"[9, 10, 3, 8, 17]",1,0.0,-11,2,4,0.16959064327485301,13,1
17,"(9,3)",,False,12,"[9, 10, 3, 8, 17]",1,0.0,-11,2,4,0.16959064327485301,13,1
18,"(2,16)",,False,14,"[18, 2, 15, 16, 3]",1,0.0,-13,2,4,0.16959064327485301,15,1
19,"(2,16)",,False,14,"[18, 2, 15, 16, 3]",1,0.0,-13,2,4,0.16959064327485301,15,1
20,"(8,4)",,False,15,"[8, 4, 11, 10, 6]",1,0.0,-15,2,4,0.132553606237816,17,1
21,"(8,4)",,False,15,"[8, 4, 11, 10, 6]",1,0.0,-15,2,4,0.132553606237816,17,1
22,"(5,2)",,False,15,"[10, 5, 2, 14, 11]",1,0.0,-17,2,4,0.132553606237816,19,1
23,"(5,2)",,False,15,"[10, 5, 2, 14, 11]",1,0.0,-17,2,4,0.132553606237816,19,1
24,"(4,18)",,False,15,"[4, 12, 18, 11, 3]",1,0.0,-19,2,4,0.228070175438596,21,1
25,"(4,18)",,False,15,"[4, 12, 18, 11, 3]",1,0.0,-19,2,4,0.228070175438596,21,1
26,"(7,12)",,False,17,"[7, 9, 17, 10, 12]",1,0.0,-21,2,4,0.290448343079922,23,1
27,"(7,12)",,False,17,"[7, 9, 17, 10, 12]",1,0.0,-21,2,4,0.290448343079922,23,1
28,"(15,17)",,False,20,"[15, 16, 0, 17, 5]",1,0.0,-23,2,4,0.177387914230019,25,1
29,"(15,17)",,False,20,"[15, 16, 0, 17, 5]",1,0.0,-23,2,4,0.177387914230019,25,1
30,"(2,9)",,False,22,"[0, 17, 12, 2, 9]",1,0.0,-25,2,4,0.155555555555555,27,1
31,"(2,9)",,False,22,"[0, 17, 12, 2, 9]",1,0.0,-25,2,4,0.155555555555555,27,1
32,"(1,8)",,False,21,"[19, 1, 18, 8, 2]",1,0.0,-27,2,5,0.19376218323586702,29,1
33,"(1,8)",,False,21,"[19, 1, 18, 8, 2]",1,0.0,-27,2,5,0.19376218323586702,29,1
34,"(8,6)",,False,24,"[8, 0, 9, 18, 6]",1,0.0,-29,2,5,0.13986354775828402,31,1
35,"(8,6)",,False,24,"[8, 0, 9, 18, 6]",1,0.0,-29,2,5,0.13986354775828402,31,1
36,"(11,12)",,False,24,"[16, 5, 11, 13, 12]",1,0.0,-31,2,4,0.135477582846003,33,1
37,"(11,12)",,False,24,"[16, 5, 11, 13, 12]",1,0.0,-31,2,4,0.135477582846003,33,1
38,"(2,3)",,False,24,"[2, 11, 3, 8, 7]",2,0.09356725146198801,-33,2,4,0.17641325536062302,35,1
39,"(2,3)",,False,24,"[2, 11, 3, 8, 7]",2,0.09356725146198801,-33,2,4,0.17641325536062302,35,1
40,"(1,7)",,False,27,"[1, 4, 9, 8, 7]",4,0.19883040935672502,-33,3,5,0.21442495126705602,36,1
41,"(1,7)",,False,27,"[1, 4, 9, 8, 7]",4,0.19883040935672502,-33,3,5,0.21442495126705602,36,1
42,"(18,2)",,False,27,"[9, 15, 18, 7, 2]",4,0.19736842105263103,-31,5,4,0.12183235867446301,36,1
43,"(18,2)",,False,27,"[9, 15, 18, 7, 2]",4,0.19736842105263103,-31,5,4,0.12183235867446301,36,1
44,"(17,1)",,False,28,"[17, 9, 3, 1, 8]",4,0.23099415204678303,-29,7,5,0.18615984405458003,36,1
45,"(17,1)",,False,28,"[17, 9, 3, 1, 8]",4,0.23099415204678303,-29,7,5,0.18615984405458003,36,1
46,"(1,14)",,False,30,"[19, 1, 5, 14, 12]",4,0.16026176552492302,-29,8,6,0.208744082428292,37,1
47,"(1,14)",,False,30,"[19, 1, 5, 14, 12]",4,0.16026176552492302,-29,8,6,0.208744082428292,37,1
48,"(18,13)",,False,33,"[9, 14, 7, 18, 13]",4,0.075076580339738,-29,9,6,0.122389306599832,38,1
49,"(18,13)",,False,33,"[9, 14, 7, 18, 13]",4,0.075076580339738,-29,9,6,0.122389306599832,38,1
50,"(1,9)",,False,34,"[1, 6, 15, 9, 2]",4,0.116471734892787,-29,10,7,0.18674463937621802,39,1
51,"(1,9)",,False,34,"[1, 6, 15, 9, 2]",4,0.116471734892787,-29,10,7,0.18674463937621802,39,1
52,"(1,9)",,False,34,"[1, 9, 4, 6, 7]",4,0.116471734892787,-29,11,7,0.18674463937621802,40,1
53,"(1,9)",,False,34,"[1, 9, 4, 6, 7]",4,0.116471734892787,-29,11,7,0.18674463937621802,40,1
54,"(6,4)",,False,33,"[6, 10, 0, 2, 4]",4,0.19298245614035,-27,13,6,0.10360623781676401,40,1
55,"(6,4)",,False,33,"[6, 10, 0, 2, 4]",4,0.19298245614035,-27,13,6,0.10360623781676401,40,1
56,16:2,assassinate,True,33,"[13, 16, 19, 6, 15]",3,0.09941520467836201,-27,14,6,0.09970760233918101,41,1
57,16:2,assassinate,True,33,"[13, 16, 19, 6, 15]",3,0.09941520467836201,-27,14,6,0.09970760233918101,41,1
58,"(1,5)",,False,35,"[17, 18, 1, 5, 2]",3,0.19883040935672502,-25,16,7,0.171442495126705,41,1
59,"(1,5)",,False,35,"[17, 18, 1, 5, 2]",3,0.19883040935672502,-25,16,7,0.171442495126705,41,1
60,"(14,18)",,False,37,"[0, 14, 18, 19, 17]",3,0.005847953216374001,-25,17,7,0.15647451963241402,42,1
61,"(14,18)",,False,37,"[0, 14, 18, 19, 17]",3,0.005847953216374001,-25,17,7,0.15647451963241402,42,1
62,"(16,1)",,False,40,"[18, 9, 16, 1, 17]",3,0.006335282651072,-27,17,8,0.19397103870788002,44,1
63,"(16,1)",,False,40,"[18, 9, 16, 1, 17]",3,0.006335282651072,-27,17,8,0.19397103870788002,44,1
64,"(7,9)",,False,40,"[7, 5, 10, 9, 14]",3,0.006335282651072,-29,17,7,0.146992481203007,46,1
65,"(7,9)",,False,40,"[7, 5, 10, 9, 14]",3,0.006335282651072,-29,17,7,0.146992481203007,46,1
66,"(12,18)",,False,38,"[11, 12, 17, 18, 19]",3,0.007797270955165,-31,17,6,0.09360902255639,48,1
67,"(12,18)",,False,38,"[11, 12, 17, 18, 19]",3,0.007797270955165,-31,17,6,0.09360902255639,48,1
68,"(3,14)",,False,40,"[3, 10, 14, 12, 5]",3,0.007797270955165,-33,17,6,0.07431077694235501,50,1
69,"(3,14)",,False,40,"[3, 10, 14, 12, 5]",3,0.007797270955165,-33,17,6,0.07431077694235501,50,1
70,"(13,9)",,False,43,"[13, 10, 9, 8, 6]",5,0.070077972709551,-31,19,6,0.058813700918964006,50,1
71,"(13,9)",,False,43,"[13, 10, 9, 8, 6]",5,0.070077972709551,-31,19,6,0.058813700918964006,50,1
72,"(16,7)",,False,44,"[16, 14, 7, 12, 3]",5,0.052631578947368,-29,21,6,0.050048732943469,50,1
73,"(16,7)",,False,44,"[16, 14, 7, 12, 3]",5,0.052631578947368,-29,21,6,0.050048732943469,50,1
74,"(18,0)",,False,43,"[18, 0, 2, 17, 8]",4,0.030604288499025002,-27,23,5,0.028798848974287004,50,1
75,"(18,0)",,False,43,"[18, 0, 2, 17, 8]",4,0.030604288499025002,-27,23,5,0.028798848974287004,50,1
76,"(9,1)",,False,45,"[4, 9, 1, 17, 16]",4,0.041353383458646004,-27,24,6,0.056321358952937,51,1
